NAME,state_abbrev,name_simp,y2018_median_age_male,y2018_median_age_female,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_num_vehicles_avail,y2018_total_hh,y2018_married_hh,y2018_median_income,y2018_hours_worked_past_year,y2018_houses_for_sale,y2018_median_value,y2018_speaks_only_english,name_classic,countryRegion,latitude,longitude,state,division,region,y2013_median_age_male,y2013_median_age_female,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_num_vehicles_avail,y2013_total_hh,y2013_married_hh,y2013_median_income,y2013_hours_worked_past_year,y2013_houses_for_sale,y2013_median_value,y2013_speaks_only_english,y2014_median_age_male,y2014_median_age_female,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_num_vehicles_avail,y2014_total_hh,y2014_married_hh,y2014_median_income,y2014_hours_worked_past_year,y2014_houses_for_sale,y2014_median_value,y2014_speaks_only_english,y2015_median_age_male,y2015_median_age_female,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_num_vehicles_avail,y2015_total_hh,y2015_married_hh,y2015_median_income,y2015_hours_worked_past_year,y2015_houses_for_sale,y2015_median_value,y2015_speaks_only_english,y2016_median_age_male,y2016_median_age_female,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_num_vehicles_avail,y2016_total_hh,y2016_married_hh,y2016_median_income,y2016_hours_worked_past_year,y2016_houses_for_sale,y2016_median_value,y2016_speaks_only_english,y2017_median_age_male,y2017_median_age_female,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_num_vehicles_avail,y2017_total_hh,y2017_married_hh,y2017_median_income,y2017_hours_worked_past_year,y2017_houses_for_sale,y2017_median_value,y2017_speaks_only_english
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",NY,New York,36.9,40,19990592,11643206,3416157,5761610,5068515,7196383,3343799,35423,211092523,62525,426100,11493884,"New York, NY",NY,40.71427,-74.00597,New York,Mid-Atlantic,Northeast,36.1,39.3,19716880,11833135,3392991,5564308,4881095,7078765,3263214,31762,207756857,69206,406700,11432279,36.2,39.4,19865045,11797761,3412320,5655928,4914250,7105003,3268278,31955,207933064,66739,400000,11470072,36.3,39.4,19979950,11783565,3421133,5720645,4955095,7121206,3277431,31887,209448237,65765,398800,11502775,36.4,39.5,20031443,11761690,3427574,5749079,4993425,7138559,3288406,32308,210474466,62474,403300,11523368,36.6,39.7,20192042,11768269,3455984,5825572,5068020,7168027,3322667,33594,212524575,62390,413200,11586997
"Los Angeles-Long Beach-Anaheim, CA Metro Area",CA,Los Angeles,35.4,37.8,13262234,7137761,878719,4412258,4998675,4338482,2049978,29620,141749937,21677,579500,5731197,"Los Angeles, CA",CA,34.05223,-118.24368,California,Pacific,West,34.1,36.6,12945252,7190204,883313,4400918,4555920,4225895,1985667,26010,135108700,30051,448000,5550071,34.4,36.8,13060534,7272008,883019,4420863,4622360,4244676,1988527,25999,135484575,28271,454200,5608003,34.7,37.2,13154457,7316316,882607,4436466,4723785,4272422,2005900,26101,137192083,25250,470300,5649488,35,37.4,13189366,7258206,882832,4425780,4814850,4298857,2023245,26651,138856311,22573,493900,5678395,35.2,37.6,13261538,7193319,882243,4433588,4924705,4320174,2039262,27683,140694013,21104,537000,5722795
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",IL,Chicago,36,38.5,9536428,6278469,1586538,1686996,3412875,3495713,1661213,32772,104990023,41434,231400,6342291,"Chicago, IL",IL,41.85003,-87.65005,Illinois,East North Central,Midwest,34.8,37.3,9488493,6314383,1625456,1669830,3284090,3429738,1650492,29904,101816018,55823,225000,6326029,35.1,37.5,9516448,6339010,1620641,1679627,3302215,3438560,1646724,30118,102011412,51791,217300,6340663,35.3,37.7,9534008,6340359,1613896,1693807,3336255,3448499,1648656,30321,102938728,49534,214400,6339941,35.5,38,9528396,6317574,1606204,1682220,3366825,3464942,1650560,30827,103584682,44191,216000,6350763,35.8,38.2,9549229,6303072,1599415,1689797,3393005,3481330,1657491,31675,104223178,42613,222600,6357761
"Dallas-Fort Worth-Arlington, TX Metro Area",TX,Dallas,33.9,35.6,7255028,5012939,1126696,1328417,3036695,2536055,1295468,32634,84567112,18480,193100,4623822,"Dallas, TX",TX,32.78306,-96.80667,Texas,West South Central,South,32.9,34.8,6575833,4538248,980654,1141778,2665690,2333532,1186240,29968,76026476,26156,150000,4267948,33.2,35,6703020,4658230,1005927,1170629,2722905,2370055,1198849,30161,77157107,23111,151900,4342842,33.4,35.1,6833420,4765303,1032978,1206720,2793160,2407330,1218106,30324,78834135,21456,156500,4412719,33.6,35.3,6957123,4850749,1063621,1238600,2862870,2451163,1242536,30721,80441631,18359,163900,4475682,33.8,35.5,7104415,4930563,1093212,1285060,2949605,2494426,1269299,31671,82361415,18662,174500,4554764
"Houston-The Woodlands-Sugar Land, TX Metro Area",TX,Houston,33.4,34.9,6779104,4426906,1169670,1583503,2709640,2310213,1181703,31766,79052825,21651,179100,3827079,"Houston, TX",TX,29.76328,-95.36327,Texas,West South Central,South,32.5,34.2,6063540,3986513,1045873,1350399,2361465,2068518,1054336,28584,70473171,25763,141400,3494650,32.7,34.4,6204141,4069616,1069601,1394516,2430520,2112447,1071289,29144,72017656,23972,144000,3562562,32.9,34.6,6346653,4167710,1086282,1438555,2506195,2168642,1099504,29770,74150490,21234,149300,3640550,33.1,34.7,6482592,4258148,1114979,1485232,2568245,2223829,1127329,30263,75933486,20105,157400,3703272,33.3,34.8,6636208,4359111,1141697,1538097,2641510,2271561,1159994,31048,77568251,20713,166500,3774069
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",DC,Washington,35.9,37.8,6138382,3319114,1555778,1396380,2282900,2191338,1086743,46233,72099552,16874,411500,4099600,"Washington, DC",IL,40.70365,-89.40731,District of Columbia,South Atlantic,South,35.2,37.1,5759330,3228757,1470979,1245847,2129725,2091301,1023000,42575,68575590,20002,373100,3948419,35.2,37.2,5863608,3278431,1490421,1285767,2162510,2112551,1030339,42627,69441206,18189,373300,4003118,35.3,37.3,5949403,3301039,1509842,1315848,2194285,2135657,1046714,42428,70371770,16443,378400,4039021,35.5,37.5,6011752,3312627,1527439,1340598,2220330,2155967,1059531,42735,70822684,16360,387400,4063944,35.8,37.6,6090196,3322625,1547874,1377353,2257485,2170034,1073498,44334,71646330,16655,397900,4089210
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",FL,Miami,39.3,42.4,6070944,4279818,1293936,2450422,2359560,2100355,925484,26396,61756286,26317,259300,2661417,"Miami, FL",FL,25.77427,-80.19366,Florida,South Atlantic,South,38.5,41.4,5673185,4061742,1199613,2174308,2086665,2017496,889148,23923,56251775,39858,194300,2617753,38.7,41.5,5775204,4135885,1229061,2233014,2138435,2030848,890136,24020,56970718,34859,188700,2643458,38.9,41.8,5861000,4187164,1252870,2278836,2195210,2047042,895864,24093,58147615,30334,197900,2656805,39.1,42,5926955,4211497,1269852,2334395,2246605,2065161,907022,24698,59439251,27854,215700,2664199,39.2,42.2,6019790,4266292,1286415,2406913,2312025,2077708,913561,25457,60834639,26260,236500,2665640
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",PA,Philadelphia,37,40.2,6069448,4065435,1273284,653086,2221750,2264041,1044420,33643,63526768,24873,245000,4805707,"Philadelphia, PA",PA,39.95234,-75.16379,Pennsylvania,Mid-Atlantic,Northeast,36.5,39.7,5992766,4106566,1250223,586013,2125840,2226631,1035033,30783,61919772,27696,240200,4782664,36.6,39.8,6015336,4098723,1256908,597654,2134460,2229039,1029900,30853,61563083,26935,237600,4790475,36.7,39.9,6035680,4093540,1258405,609314,2154330,2230987,1029134,30998,61958853,26656,236600,4802046,36.7,40,6047721,4080796,1266040,622091,2175430,2235205,1029843,31347,62539566,25732,237700,4806478,36.9,40.1,6065644,4083283,1270826,638524,2198655,2253471,1036756,32270,62974500,25393,240700,4816356
"Atlanta-Sandy Springs-Roswell, GA Metro Area",GA,Atlanta,35.1,37.3,5779463,3122337,1961791,792208,2272700,2065239,995236,31834,63276983,23884,199200,4442870,"Atlanta, GA",GA,33.749,-84.38798,Georgia,South Atlantic,South,34,36.3,5379176,3027755,1753777,720983,2013310,1917581,930976,28901,57946685,44967,170400,4128247,34.3,36.5,5455053,3057896,1794205,727285,2041825,1936823,933516,28753,58120120,40092,167400,4190306,34.5,36.7,5535837,3086318,1831421,743005,2097660,1964316,945617,29020,59187800,35125,168100,4249669,34.7,37,5612777,3095400,1878072,753516,2152735,1994730,959251,29991,60417165,28591,173300,4312211,34.9,37.1,5700990,3112830,1920782,777519,2213325,2029045,977583,30824,61956489,25523,184200,4377933
"Boston-Cambridge-Newton, MA-NH Metro Area",MA,Boston,37.2,40.1,4811732,3679379,392241,894766,1775065,1819113,874785,39019,55509848,10181,414700,3430768,"Boston, MA",MA,42.35843,-71.05977,Massachusetts,New England,Northeast,37.2,39.9,4604278,3621435,349347,771081,1680900,1755666,837128,33981,52299294,12795,362400,3354909,37.2,40,4650876,3633194,357691,794041,1697985,1764845,841099,34481,52646982,11902,363600,3373718,37.2,40,4694565,3645403,367750,813764,1718930,1776440,848964,34711,53309204,10665,368900,3391107,37.2,40.1,4728844,3655168,376601,835760,1741225,1784448,852969,35773,53915311,10347,379200,3407763,37.3,40.1,4771936,3674413,384527,866821,1761025,1804136,869355,37070,54801929,10060,393500,3419600
